PhraseID,EN,IT,PT-BR,TR,ES-ES,SV,NL
SV_7ZNOB0077gVsGZo,,,,,,,
QID317_QuestionText,"Please, <strong>select your language</strong> in the menu above.&nbsp;<br />➘<br />➘Available languages:&nbsp;<br />➘&nbsp; &nbsp; 1.&nbsp;&nbsp; &nbsp;English (English)<br />➘&nbsp; &nbsp; 2.&nbsp;&nbsp; &nbsp;Espa&ntilde;ol (Spanish)<br />➘&nbsp; &nbsp; 3.&nbsp;&nbsp; &nbsp;Italiano (Italian)<br />➘&nbsp; &nbsp; 4.&nbsp;&nbsp; &nbsp;Nederlands (Dutch)<br />➘&nbsp; &nbsp; 5.&nbsp;&nbsp; &nbsp;Portugu&ecirc;s (Brasil) (Brazilian Portuguese)<br />➘&nbsp; &nbsp; 6.&nbsp;&nbsp; &nbsp;Svenska (Swedish)<br />➘&nbsp; &nbsp; 7.&nbsp;&nbsp; &nbsp;T&uuml;rk&ccedil;e (Turkish)<br />➘<br />➘&nbsp;","<strong>Seleziona la tua lingua</strong> nel menu in alto.<br />➘<br />➘Lingue disponibili:<br />➘1. English (inglese)<br />➘2. Español (spagnolo)<br />➘3. Italiano<br />➘4. Nederlands (olandese)<br />➘5. Português (Brasile) (portoghese brasiliano)<br />➘6. Svenska (svedese)<br />➘7. Türkçe (turco)<br />➘ ","","","","","<strong>Selecteer uw taal</strong> in het menu hierboven.<br /><br /> Beschikbare talen:<br /> 1. Engels (Engels)<br /> 2. Español (Spaans)<br /> 3. Italiano (Italiaans)<br /> 4. Nederlands<br /> 5. Português (Brazilië) (Braziliaans Portugees)<br /> 6. Svenska (Zweeds)<br /> 7. Türkçe (Turks)<br /><br />"
QID322_QuestionText,"Are you from one of the following <strong>countries</strong>?","Provieni da uno dei seguenti <strong>Paesi</strong> ?","","","","","Komt u uit een van de volgende <strong>landen</strong> ?"
QID322_Choice1,"Brazil","Brasile","","","","","Brazilië"
QID322_Choice4,"Canada","Canada","","","","","Canada"
QID322_Choice5,"Ghana","Ghana","","","","","Ghana"
QID322_Choice6,"India","India","","","","","Indië"
QID322_Choice7,"Italy","Italia","","","","","Italië"
QID322_Choice8,"Netherlands","Paesi Bassi","","","","","Nederland"
QID322_Choice9,"Spain","Spagna","","","","","Spanje"
QID322_Choice10,"Sweden","Svezia","","","","","Zweden"
QID322_Choice11,"Turkey","Turchia","","","","","Kalkoen"
QID322_Choice12,"Some other country","Un altro paese","","","","","Een ander land"
QID320_QuestionText,"Are you <strong>at home</strong>, or at least at the house of someone you know?&nbsp;","Ti trovi <strong>a casa</strong>, o almeno a casa di qualcuno che conosci?","","","","","Bent u <strong>thuis</strong>, of in ieder geval bij iemand die u kent?"
QID320_Choice1,"Yes, I'm at my house","Sì, sono a casa mia","","","","","Ja, ik ben bij mij thuis"
QID320_Choice2,"Yes, I'm at the house of someone I know","Sì, sono a casa di qualcuno che conosco","","","","","Ja, ik ben bij iemand thuis die ik ken"
QID320_Choice3,"No, I'm somewhere else","No, sono da qualche altra parte","","","","","Nee, ik ben ergens anders"
QID321_QuestionText,"Note: if you are not at home, you cannot take part in this study.<br>➘<br>➘Please, <strong>continue later when you are at home</strong>.","Nota: se non sei a casa, non puoi partecipare a questo studio.<br />➘<br />➘Per favore, <strong>continua più tardi, quando sarai a casa</strong>.","","","","","Let op: als u niet thuis bent, kunt u niet deelnemen aan dit onderzoek.<br><br> <strong>Ga later verder als u thuis bent</strong> ."
QID323_QuestionText,"Note: if you are not from one of the nine countries listed above, you cannot take part in this study.&nbsp;<br>","Nota: se non risiedi in uno dei nove Paesi sopra elencati, non puoi partecipare a questo studio.<br>","","","","","Let op: als u niet uit een van de negen hierboven genoemde landen komt, kunt u niet deelnemen aan dit onderzoek.<br>"
QID341_QuestionText,"Are you a participant from <strong>BeSample or Prolific</strong>?","Sei un partecipante di <strong>BeSample o Prolific</strong>?","","","","","Bent u deelnemer van <strong>BeSample of Prolific</strong> ?"
QID341_Choice2,"Prolific","Prolific ","","","","","Prolific"
QID341_Choice3,"BeSample","BeSample ","","","","","BeSample"
QID318_QuestionText,"What is your <strong>Prolific ID</strong>?","Qual è il tuo <strong>Prolific ID</strong>?","","","","","Wat is uw <strong>Prolific-ID</strong> ?"
QID319_QuestionText,"What is your <strong>BeSample ID</strong>?","Qual è il tuo <strong>BeSample ID</strong>?","","","","","Wat is uw <strong>BeSample ID</strong> ?"
QID233_QuestionText,"Thank you for participating in our study.<br />➘<br />➘This research explores <strong>perceptions and behaviors related to second-hand clothing</strong>.<br />➘<br />➘Your input is invaluable in helping us understand this topic.","Grazie per aver partecipato al nostro studio.<br />➘<br />➘Questa ricerca esplora le <strong>percezioni e i comportamenti legati all’abbigliamento di seconda mano.</strong><br />➘<br />➘Il tuo contributo è fondamentale per aiutarci a comprendere meglio questo argomento.","","","","","Hartelijk dank voor uw deelname aan ons onderzoek.<br /><br /> In dit onderzoek wordt gekeken naar <strong>de perceptie en het gedrag met betrekking tot tweedehandskleding</strong> .<br /><br /> Uw input is van onschatbare waarde om ons dit onderwerp te helpen begrijpen."
