PhraseID,EN,IT,PT-BR,TR,ES-ES,SV,NL
SV_7ZNOB0077gVsGZo,,,,,,,
QID317_QuestionText,"Please, <strong>select your language</strong> in the menu above.&nbsp;<br />➘<br />➘Available languages:&nbsp;<br />➘&nbsp; &nbsp; 1.&nbsp;&nbsp; &nbsp;English (English)<br />➘&nbsp; &nbsp; 2.&nbsp;&nbsp; &nbsp;Espa&ntilde;ol (Spanish)<br />➘&nbsp; &nbsp; 3.&nbsp;&nbsp; &nbsp;Italiano (Italian)<br />➘&nbsp; &nbsp; 4.&nbsp;&nbsp; &nbsp;Nederlands (Dutch)<br />➘&nbsp; &nbsp; 5.&nbsp;&nbsp; &nbsp;Portugu&ecirc;s (Brasil) (Brazilian Portuguese)<br />➘&nbsp; &nbsp; 6.&nbsp;&nbsp; &nbsp;Svenska (Swedish)<br />➘&nbsp; &nbsp; 7.&nbsp;&nbsp; &nbsp;T&uuml;rk&ccedil;e (Turkish)<br />➘<br />➘&nbsp;",,,,,,<strong>Selecteer uw taal</strong> in het menu hierboven.<br /><br /> Beschikbare talen:<br /> 1. Engels (Engels)<br /> 2. Español (Spaans)<br /> 3. Italiano (Italiaans)<br /> 4. Nederlands<br /> 5. Português (Brazilië) (Braziliaans Portugees)<br /> 6. Svenska (Zweeds)<br /> 7. Türkçe (Turks)<br /><br />
QID322_QuestionText,Are you from one of the following <strong>countries</strong>?,,,,,,Komt u uit een van de volgende <strong>landen</strong> ?
QID322_Choice1,Brazil,,,,,,Brazilië
QID322_Choice4,Canada,,,,,,Canada
QID322_Choice5,Ghana,Omelette,,,,,Ghana
QID322_Choice6,India,,,,,,Indië
QID322_Choice7,Italy,,,,,,Italië
QID322_Choice8,Netherlands,,,,,,Nederland
QID322_Choice9,Spain,,,,,,Spanje
QID322_Choice10,Sweden,,,,,,Zweden
QID322_Choice11,Turkey,Frittata,,,,,Kalkoen
QID322_Choice12,Some other country,,,,,,Een ander land
QID320_QuestionText,"Are you <strong>at home</strong>, or at least at the house of someone you know?&nbsp;",,,,,,"Bent u <strong>thuis</strong>, of in ieder geval bij iemand die u kent?"
QID320_Choice1,"Yes, I'm at my house",,,,,,"Ja, ik ben bij mij thuis"
QID320_Choice2,"Yes, I'm at the house of someone I know",,,,,,"Ja, ik ben bij iemand thuis die ik ken"
QID320_Choice3,"No, I'm somewhere else",,,,,,"Nee, ik ben ergens anders"
QID321_QuestionText,"Note: if you are not at home, you cannot take part in this study.<br>➘<br>➘Please, <strong>continue later when you are at home</strong>.",,,,,,"Let op: als u niet thuis bent, kunt u niet deelnemen aan dit onderzoek.<br><br> <strong>Ga later verder als u thuis bent</strong> ."
