PhraseID,EN,IT,PT-BR,TR,ES-ES,SV,NL
SV_7ZNOB0077gVsGZo,,,,,,,
QID317_QuestionText,"Please, <strong>select your language</strong> in the menu above.&nbsp;<br />➘<br />➘Available languages:&nbsp;<br />➘&nbsp; &nbsp; 1.&nbsp;&nbsp; &nbsp;English (English)<br />➘&nbsp; &nbsp; 2.&nbsp;&nbsp; &nbsp;Espa&ntilde;ol (Spanish)<br />➘&nbsp; &nbsp; 3.&nbsp;&nbsp; &nbsp;Italiano (Italian)<br />➘&nbsp; &nbsp; 4.&nbsp;&nbsp; &nbsp;Nederlands (Dutch)<br />➘&nbsp; &nbsp; 5.&nbsp;&nbsp; &nbsp;Portugu&ecirc;s (Brasil) (Brazilian Portuguese)<br />➘&nbsp; &nbsp; 6.&nbsp;&nbsp; &nbsp;Svenska (Swedish)<br />➘&nbsp; &nbsp; 7.&nbsp;&nbsp; &nbsp;T&uuml;rk&ccedil;e (Turkish)<br />➘<br />➘&nbsp;",<strong>Seleziona la tua lingua</strong> nel menu in alto.<br />➘<br />➘Lingue disponibili:<br />➘1. English (inglese)<br />➘2. Español (spagnolo)<br />➘3. Italiano<br />➘4. Nederlands (olandese)<br />➘5. Português (Brasile) (portoghese brasiliano)<br />➘6. Svenska (svedese)<br />➘7. Türkçe (turco)<br />➘ ,"Por favor, <strong>selecione seu idioma</strong> no menu acima.&nbsp;<br />➘<br />➘Idiomas disponíveis:&nbsp;<br />➘&nbsp; &nbsp; 1.&nbsp;&nbsp; &nbsp;English (Inglês)<br />➘&nbsp; &nbsp; 2.&nbsp;&nbsp; &nbsp;Español (Espanhol)<br />➘&nbsp; &nbsp; 3.&nbsp;&nbsp; &nbsp;Italiano (Italiano)<br />➘&nbsp; &nbsp; 4.&nbsp;&nbsp; &nbsp;Nederlands (Holandês)<br />➘&nbsp; &nbsp; 5.&nbsp;&nbsp; &nbsp;Português (Brasil) (Português do Brasil)<br />➘&nbsp; &nbsp; 6.&nbsp;&nbsp; &nbsp;Svenska (Sueco)<br />➘&nbsp; &nbsp; 7.&nbsp;&nbsp; &nbsp;Türkçe (Turco)<br />➘<br />➘&nbsp;",Lütfen <strong>yukarıdaki menüden</strong> dilinizi seçiniz. <br />➘<br />➘Mevcut diller:<br />➘    1.    English (İngilizce)<br />➘    2.    Español (İspanyolca)<br />➘    3.    Italiano (İtalyanca)<br />➘    4.    Nederlands (Felemenkçe)<br />➘    5.    Português (Brasil) (Brezilya Portekizcesi)<br />➘    6.    Svenska (İsveççe)<br />➘    7.    Türkçe (Türkçe),"Por favor, <strong>selecciona tu idioma</strong> en el menú de arriba.&nbsp;<br />➘<br />➘Idiomas disponibles:&nbsp;<br />➘&nbsp; &nbsp; 1.&nbsp;&nbsp; &nbsp;English (Inglés)<br />➘&nbsp; &nbsp; 2.&nbsp;&nbsp; &nbsp;Español (Español)<br />➘&nbsp; &nbsp; 3.&nbsp;&nbsp; &nbsp;Italiano (Italiano)<br />➘&nbsp; &nbsp; 4.&nbsp;&nbsp; &nbsp;Nederlands (Holandés)<br />➘&nbsp; &nbsp; 5.&nbsp;&nbsp; &nbsp;Português (Brasil) (Portugués Brasileño)<br />➘&nbsp; &nbsp; 6.&nbsp;&nbsp; &nbsp;Svenska (Sueco)<br />➘&nbsp; &nbsp; 7.&nbsp;&nbsp; &nbsp;Türkçe (Turco)<br />➘<br />➘&nbsp;","Vänligen, <strong>välj ditt språk</strong> i menyn ovan.&nbsp;<br />➘<br />➘Tillgängliga språk:&nbsp;<br />➘&nbsp; &nbsp; 1.&nbsp;&nbsp; &nbsp;English (English)<br />➘&nbsp; &nbsp; 2.&nbsp;&nbsp; &nbsp;Español (Spanish)<br />➘&nbsp; &nbsp; 3.&nbsp;&nbsp; &nbsp;Italiano (Italian)<br />➘&nbsp; &nbsp; 4.&nbsp;&nbsp; &nbsp;Nederlands (Dutch)<br />➘&nbsp; &nbsp; 5.&nbsp;&nbsp; &nbsp;Português (Brasil) (Brazilian Portuguese)<br />➘&nbsp; &nbsp; 6.&nbsp;&nbsp; &nbsp;Svenska (Swedish)<br />➘&nbsp; &nbsp; 7.&nbsp;&nbsp; &nbsp;Türkçe (Turkish)<br />➘<br />➘&nbsp;",<strong>Selecteer uw taal</strong> in het menu hierboven.<br /><br /> Beschikbare talen:<br /> 1. Engels (Engels)<br /> 2. Español (Spaans)<br /> 3. Italiano (Italiaans)<br /> 4. Nederlands<br /> 5. Português (Brazilië) (Braziliaans Portugees)<br /> 6. Svenska (Zweeds)<br /> 7. Türkçe (Turks)<br /><br />
QID322_QuestionText,Are you from one of the following <strong>countries</strong>?,Provieni da uno dei seguenti <strong>Paesi</strong> ?,Você é de um dos seguintes <strong>países</strong>?,Aşağıdaki <strong>ülkelerden</strong> birinde mi yaşıyorsunuz?,¿Eres de uno de los siguientes <strong>países</strong>?,Kommer du från något av följande <strong>länder</strong>?,Komt u uit een van de volgende <strong>landen</strong> ?
QID322_Choice1,Brazil,Brasile,Brasil,Brezilya<br />,Brasil,Brasilien,Brazilië
QID322_Choice4,Canada,Canada,Canadá,Kanada<br />,Canadá,Kanada,Canada
QID322_Choice5,Ghana,Ghana,Gana,Gana<br />,Ghana,Ghana,Ghana
QID322_Choice6,India,India,Índia,Hindistan<br />,India,Indien,Indië
QID322_Choice7,Italy,Italia,Itália,İtalya<br />,Italia,Italien,Italië
QID322_Choice8,Netherlands,Paesi Bassi,Países Baixos,Hollanda<br />,Países Bajos,Nederländerna,Nederland
QID322_Choice9,Spain,Spagna,Espanha,İspanya<br />,España,Spanien,Spanje
QID322_Choice10,Sweden,Svezia,Suécia,İsveç<br />,Suecia,Sverige,Zweden
